"Time";"power_1";"power_10";"power_11";"power_2";"power_3";"power_4";"power_5";"power_6";"power_7";"power_8";"power_9"
"2019-10-01T08:23:58+02:00";null;null;null;null;2125.1016;null;null;null;null;null;null
"2019-10-01T08:23:59+02:00";4753.9209;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:24:07+02:00";null;null;2136.3545;null;null;null;null;null;null;null;null
"2019-10-01T08:24:13+02:00";null;null;null;null;null;null;null;null;null;null;2468.3435
"2019-10-01T08:24:19+02:00";null;null;null;null;null;null;null;null;2550.9683;null;null
"2019-10-01T08:24:30+02:00";null;null;null;null;null;2525.1128;null;null;null;null;null
"2019-10-01T08:24:31+02:00";null;null;null;2638.4104;null;null;null;null;null;null;null
"2019-10-01T08:24:40+02:00";null;2138.3127;null;null;null;null;null;null;null;null;null
"2019-10-01T08:24:46+02:00";null;null;null;null;null;null;null;null;null;2087.2246;null
"2019-10-01T08:24:52+02:00";null;null;null;null;null;null;null;2180.6746;null;null;null
"2019-10-01T08:24:58+02:00";null;null;null;null;2041.2113;null;null;null;null;null;null
"2019-10-01T08:24:59+02:00";4826.8867;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:25:07+02:00";null;null;2126.3865;null;null;null;null;null;null;null;null
"2019-10-01T08:25:13+02:00";null;null;null;null;null;null;null;null;null;null;2526.0605
"2019-10-01T08:25:19+02:00";null;null;null;null;null;null;null;null;2602.187;null;null
"2019-10-01T08:25:30+02:00";null;null;null;null;null;2601.2935;null;null;null;null;null
"2019-10-01T08:25:31+02:00";null;null;null;2570.2168;null;null;null;null;null;null;null
"2019-10-01T08:25:40+02:00";null;2061.0188;null;null;null;null;null;null;null;null;null
"2019-10-01T08:25:46+02:00";null;null;null;null;null;null;null;null;null;2122.2356;null
"2019-10-01T08:25:58+02:00";null;null;null;null;2072.8289;null;null;null;null;null;null
"2019-10-01T08:25:59+02:00";4771.9639;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:26:07+02:00";null;null;2118.8301;null;null;null;null;null;null;null;null
"2019-10-01T08:26:13+02:00";null;null;null;null;null;null;null;null;null;null;2707.0383
"2019-10-01T08:26:19+02:00";null;null;null;null;null;null;null;null;2615.5996;null;null
"2019-10-01T08:26:30+02:00";null;null;null;null;null;2573.7808;null;null;null;null;null
"2019-10-01T08:26:31+02:00";null;null;null;2488.2124;null;null;null;null;null;null;null
"2019-10-01T08:26:40+02:00";null;2045.3645;null;null;null;null;null;null;null;null;null
"2019-10-01T08:26:46+02:00";null;null;null;null;null;null;null;null;null;2024.2509;null
"2019-10-01T08:26:52+02:00";null;null;null;null;null;null;null;2076.7004;null;null;null
"2019-10-01T08:26:58+02:00";null;null;null;null;2104.637;null;null;null;null;null;null
"2019-10-01T08:26:59+02:00";4754.3994;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:27:07+02:00";null;null;2146.1338;null;null;null;null;null;null;null;null
"2019-10-01T08:27:13+02:00";null;null;null;null;null;null;null;null;null;null;2596.2739
"2019-10-01T08:27:19+02:00";null;null;null;null;null;null;null;null;2494.1084;null;null
"2019-10-01T08:27:30+02:00";null;null;null;null;null;2520.1895;null;null;null;null;null
"2019-10-01T08:27:31+02:00";null;null;null;2527.4636;null;null;null;null;null;null;null
"2019-10-01T08:27:40+02:00";null;2126.1787;null;null;null;null;null;null;null;null;null
"2019-10-01T08:27:46+02:00";null;null;null;null;null;null;null;null;null;2080.7515;null
"2019-10-01T08:27:52+02:00";null;null;null;null;null;null;null;2163.8511;null;null;null
"2019-10-01T08:27:58+02:00";null;null;null;null;2108.7957;null;null;null;null;null;null
"2019-10-01T08:27:59+02:00";4798.8193;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:28:07+02:00";null;null;2207.144;null;null;null;null;null;null;null;null
