time,Room setpoint,Room Temp,return,return.1,discharge
02-Oct-2019 11:55:00,23.0,22.9,33.7,33.7,17.2
02-Oct-2019 11:56:00,23.0,22.9,34.0,34.0,17.2
02-Oct-2019 11:57:00,23.0,23.0,34.1,34.1,17.3
02-Oct-2019 11:58:00,23.0,22.9,34.3,34.2,17.4
02-Oct-2019 11:59:00,23.0,22.9,34.4,34.4,17.4
02-Oct-2019 12:00:00,23.0,22.9,34.6,34.6,17.3
02-Oct-2019 12:01:00,23.0,22.8,34.7,34.8,17.3
02-Oct-2019 12:02:00,23.0,22.5,34.9,35.2,17.1
02-Oct-2019 12:03:00,23.0,22.6,35.1,35.8,16.9
02-Oct-2019 12:04:00,23.0,22.7,35.3,36.2,16.7
02-Oct-2019 12:05:00,23.0,22.7,35.5,36.5,16.5
02-Oct-2019 12:06:00,23.0,22.7,35.7,36.8,16.4
02-Oct-2019 12:07:00,23.0,22.9,35.8,36.9,16.4
02-Oct-2019 12:08:00,23.0,22.9,36.0,37.1,16.4
02-Oct-2019 12:09:00,23.0,22.9,36.1,37.2,16.4
02-Oct-2019 12:10:00,23.0,22.9,36.2,37.3,16.4
02-Oct-2019 12:11:00,23.0,23.0,36.3,37.3,16.4
02-Oct-2019 12:12:00,23.0,23.0,36.3,37.4,16.4
02-Oct-2019 12:13:00,23.0,23.0,36.4,37.4,16.5
02-Oct-2019 12:14:00,23.0,23.0,36.5,37.5,16.5
02-Oct-2019 12:15:00,23.0,23.0,36.5,37.5,16.5
02-Oct-2019 12:16:00,23.0,23.0,36.6,37.5,16.6
02-Oct-2019 12:17:00,23.0,23.1,36.6,37.5,16.6
02-Oct-2019 12:18:00,23.0,23.0,36.6,37.5,16.6
02-Oct-2019 12:19:00,23.0,23.0,36.7,37.5,16.6
02-Oct-2019 12:20:00,23.0,22.9,36.7,37.5,16.6
02-Oct-2019 12:21:00,23.0,22.9,36.8,37.5,16.6
02-Oct-2019 12:22:00,23.0,23.0,36.8,37.5,16.6
02-Oct-2019 12:23:00,23.0,23.0,36.8,37.5,16.5
02-Oct-2019 12:24:00,23.0,23.0,36.8,37.5,16.5
02-Oct-2019 12:25:00,23.0,23.0,36.8,37.7,16.5
02-Oct-2019 12:26:00,23.0,22.9,36.8,37.7,16.5
02-Oct-2019 12:27:00,23.0,23.0,36.9,37.7,16.4
02-Oct-2019 12:28:00,23.0,22.9,36.9,37.8,16.4
02-Oct-2019 12:29:00,23.0,22.9,37.0,37.8,16.5
02-Oct-2019 12:30:00,23.0,23.0,36.9,37.7,16.5
02-Oct-2019 12:31:00,23.0,23.0,37.0,37.8,16.5
02-Oct-2019 12:32:00,23.0,22.9,37.0,37.6,16.6
02-Oct-2019 12:33:00,23.0,22.9,37.0,37.8,16.6
02-Oct-2019 12:34:00,23.0,23.1,37.0,37.8,16.7
02-Oct-2019 12:35:00,23.0,23.0,37.1,37.9,16.7
02-Oct-2019 12:36:00,23.0,23.0,37.1,37.8,16.7
02-Oct-2019 12:37:00,23.0,23.0,37.1,37.7,16.7
02-Oct-2019 12:38:00,23.0,22.9,37.1,37.9,16.6
02-Oct-2019 12:39:00,23.0,23.0,37.1,37.9,16.6
02-Oct-2019 12:40:00,23.0,23.0,37.1,37.9,16.6
02-Oct-2019 12:41:00,23.0,23.0,37.1,37.8,16.6
02-Oct-2019 12:42:00,23.0,23.0,37.1,37.8,16.6
02-Oct-2019 12:43:00,23.0,22.9,37.1,37.8,16.6
02-Oct-2019 12:44:00,23.0,22.9,37.1,37.8,16.5
02-Oct-2019 12:45:00,23.0,23.0,37.1,37.7,16.5
02-Oct-2019 12:46:00,23.0,22.9,37.1,37.8,16.5
02-Oct-2019 12:47:00,23.0,23.0,37.1,37.9,16.5
02-Oct-2019 12:48:00,23.0,23.0,37.2,37.9,16.5
02-Oct-2019 12:49:00,23.0,23.0,37.1,37.9,16.5
02-Oct-2019 12:50:00,23.0,22.9,37.2,37.7,16.6
02-Oct-2019 12:51:00,23.0,22.9,37.1,37.8,16.6
02-Oct-2019 12:52:00,23.0,23.0,37.2,37.8,16.6
02-Oct-2019 12:53:00,23.0,22.9,37.2,37.8,16.7
02-Oct-2019 12:54:00,23.0,22.9,37.2,37.9,16.7
02-Oct-2019 12:55:00,23.0,22.9,37.2,37.9,16.7
02-Oct-2019 12:56:00,23.0,22.9,37.2,37.9,16.7
02-Oct-2019 12:57:00,23.0,23.0,37.2,37.9,16.7
02-Oct-2019 12:58:00,23.0,23.0,37.2,37.9,16.7
02-Oct-2019 12:59:00,23.0,23.0,37.2,37.9,16.7
02-Oct-2019 13:00:00,23.0,23.0,37.2,37.9,16.6
02-Oct-2019 13:01:00,23.0,22.9,37.2,37.8,16.6
02-Oct-2019 13:02:00,23.0,23.0,37.2,37.9,16.6
02-Oct-2019 13:03:00,23.0,22.9,37.3,37.8,16.6
02-Oct-2019 13:04:00,23.0,23.0,37.3,38.0,16.5
02-Oct-2019 13:05:00,23.0,23.0,37.3,38.0,16.5
02-Oct-2019 13:06:00,23.0,23.0,37.3,38.0,16.5
02-Oct-2019 13:07:00,23.0,23.0,37.3,37.8,16.5
02-Oct-2019 13:08:00,23.0,23.0,37.3,37.7,16.5
02-Oct-2019 13:09:00,23.0,22.9,37.2,37.8,16.5
02-Oct-2019 13:10:00,23.0,22.9,37.3,38.0,16.5
02-Oct-2019 13:11:00,23.0,23.0,37.3,37.5,16.6
02-Oct-2019 13:12:00,23.0,23.0,37.3,37.8,16.6
02-Oct-2019 13:13:00,23.0,23.0,37.3,37.8,16.6
02-Oct-2019 13:14:00,23.0,23.0,37.2,38.0,16.6
02-Oct-2019 13:15:00,23.0,22.9,37.3,38.0,16.6
02-Oct-2019 13:16:00,23.0,23.0,37.3,38.0,16.7
02-Oct-2019 13:17:00,23.0,22.9,37.3,38.0,16.7
02-Oct-2019 13:18:00,23.0,23.0,37.3,38.0,16.7
02-Oct-2019 13:19:00,23.0,23.0,37.3,37.9,16.7
02-Oct-2019 13:20:00,23.0,22.9,37.3,38.0,16.7
02-Oct-2019 13:21:00,23.0,23.1,37.3,38.0,16.6
02-Oct-2019 13:22:00,23.0,23.0,37.3,38.0,16.6
02-Oct-2019 13:23:00,23.0,23.0,37.3,38.0,16.6
02-Oct-2019 13:24:00,23.0,22.9,37.5,38.3,16.6
02-Oct-2019 13:25:00,23.0,23.0,37.7,38.5,16.6
02-Oct-2019 13:26:00,23.0,23.0,37.9,38.6,16.6
02-Oct-2019 13:27:00,23.0,23.0,38.0,38.8,16.6
02-Oct-2019 13:28:00,23.0,23.1,38.1,38.8,16.6
02-Oct-2019 13:29:00,23.0,23.0,38.2,38.9,16.6
02-Oct-2019 13:30:00,23.0,23.0,38.2,38.9,16.6
02-Oct-2019 13:31:00,23.0,23.0,38.3,39.1,16.6
