"Time";"temperature_0";"temperature_1";"temperature_2";"temperature_3";"temperature_4"
"2019-10-02T09:05:11+02:00";null;null;null;null;24.688
"2019-10-02T09:05:17+02:00";null;null;null;25.75;null
"2019-10-02T09:05:17+02:00";null;26.438;null;null;null
"2019-10-02T09:05:17+02:00";null;null;null;null;24.688
"2019-10-02T09:05:17+02:00";null;null;25.313;null;null
"2019-10-02T09:05:17+02:00";26.188;null;null;null;null
"2019-10-02T09:05:21+02:00";26.188;null;null;null;null
"2019-10-02T09:05:21+02:00";null;null;25.313;null;null
"2019-10-02T09:05:21+02:00";null;null;null;null;24.688
"2019-10-02T09:05:21+02:00";null;null;null;25.75;null
"2019-10-02T09:05:21+02:00";null;26.438;null;null;null
"2019-10-02T09:05:26+02:00";null;null;25.313;null;null
"2019-10-02T09:05:26+02:00";null;null;null;25.75;null
"2019-10-02T09:05:26+02:00";null;26.5;null;null;null
"2019-10-02T09:05:26+02:00";26.125;null;null;null;null
"2019-10-02T09:05:26+02:00";null;null;null;null;24.75
"2019-10-02T09:05:31+02:00";null;null;25.25;null;null
"2019-10-02T09:05:31+02:00";null;26.438;null;null;null
"2019-10-02T09:05:31+02:00";26.188;null;null;null;null
"2019-10-02T09:05:31+02:00";null;null;null;25.75;null
"2019-10-02T09:05:31+02:00";null;null;null;null;24.75
"2019-10-02T09:05:36+02:00";null;null;25.25;null;null
"2019-10-02T09:05:36+02:00";null;26.438;null;null;null
"2019-10-02T09:05:36+02:00";26.188;null;null;null;null
"2019-10-02T09:05:36+02:00";null;null;null;25.75;null
"2019-10-02T09:05:36+02:00";null;null;null;null;24.75
"2019-10-02T09:05:41+02:00";null;null;null;25.813;null
"2019-10-02T09:05:41+02:00";null;null;25.313;null;null
"2019-10-02T09:05:42+02:00";null;26.375;null;null;null
"2019-10-02T09:05:42+02:00";26.188;null;null;null;null
"2019-10-02T09:05:42+02:00";null;null;null;null;24.75
"2019-10-02T09:05:46+02:00";null;null;null;null;24.75
"2019-10-02T09:05:46+02:00";null;26.375;null;null;null
"2019-10-02T09:05:46+02:00";26.188;null;null;null;null
"2019-10-02T09:05:46+02:00";null;null;null;25.813;null
"2019-10-02T09:05:46+02:00";null;null;25.313;null;null
"2019-10-02T09:05:51+02:00";26.188;null;null;null;null
"2019-10-02T09:05:51+02:00";null;null;25.313;null;null
"2019-10-02T09:05:51+02:00";null;null;null;25.688;null
"2019-10-02T09:05:51+02:00";null;null;null;null;24.688
"2019-10-02T09:05:51+02:00";null;26.5;null;null;null
"2019-10-02T09:05:56+02:00";26.125;null;null;null;null
"2019-10-02T09:05:56+02:00";null;null;25.25;null;null
"2019-10-02T09:05:56+02:00";null;null;null;25.688;null
"2019-10-02T09:05:56+02:00";null;null;null;null;24.75
"2019-10-02T09:05:56+02:00";null;26.5;null;null;null
"2019-10-02T09:06:01+02:00";null;null;null;25.75;null
"2019-10-02T09:06:01+02:00";26.188;null;null;null;null
"2019-10-02T09:06:01+02:00";null;null;25.313;null;null
"2019-10-02T09:06:01+02:00";null;null;null;null;24.75
"2019-10-02T09:06:01+02:00";null;26.438;null;null;null
"2019-10-02T09:06:06+02:00";null;null;null;25.75;null
"2019-10-02T09:06:06+02:00";26.188;null;null;null;null
"2019-10-02T09:06:06+02:00";null;null;25.313;null;null
"2019-10-02T09:06:07+02:00";null;null;null;null;24.688
"2019-10-02T09:06:07+02:00";null;26.438;null;null;null
"2019-10-02T09:06:11+02:00";null;null;null;25.75;null
"2019-10-02T09:06:11+02:00";26.188;null;null;null;null
"2019-10-02T09:06:11+02:00";null;26.438;null;null;null
"2019-10-02T09:06:11+02:00";null;null;null;null;24.688
"2019-10-02T09:06:11+02:00";null;null;25.313;null;null
"2019-10-02T09:06:17+02:00";null;null;null;25.625;null
"2019-10-02T09:06:17+02:00";26.188;null;null;null;null
"2019-10-02T09:06:17+02:00";null;26.438;null;null;null
"2019-10-02T09:06:17+02:00";null;null;25.313;null;null
"2019-10-02T09:06:17+02:00";null;null;null;null;24.625
"2019-10-02T09:06:21+02:00";null;null;25.313;null;null
"2019-10-02T09:06:21+02:00";null;26.438;null;null;null
"2019-10-02T09:06:21+02:00";null;null;null;null;24.625
"2019-10-02T09:06:21+02:00";26.188;null;null;null;null
"2019-10-02T09:06:21+02:00";null;null;null;25.625;null
"2019-10-02T09:06:26+02:00";null;null;25.313;null;null
"2019-10-02T09:06:26+02:00";null;26.438;null;null;null
"2019-10-02T09:06:26+02:00";null;null;null;null;24.625
"2019-10-02T09:06:26+02:00";26.188;null;null;null;null
"2019-10-02T09:06:26+02:00";null;null;null;25.625;null
"2019-10-02T09:06:31+02:00";null;26.563;null;null;null
"2019-10-02T09:06:31+02:00";null;null;25.375;null;null
"2019-10-02T09:06:31+02:00";null;null;null;null;24.625
"2019-10-02T09:06:31+02:00";26.125;null;null;null;null
"2019-10-02T09:06:31+02:00";null;null;null;25.688;null
"2019-10-02T09:06:36+02:00";null;26.563;null;null;null
"2019-10-02T09:06:36+02:00";null;null;25.375;null;null
"2019-10-02T09:06:36+02:00";null;null;null;null;24.625
"2019-10-02T09:06:36+02:00";26.125;null;null;null;null
"2019-10-02T09:06:36+02:00";null;null;null;25.688;null
"2019-10-02T09:06:42+02:00";26.063;null;null;null;null
"2019-10-02T09:06:42+02:00";null;null;null;25.625;null
"2019-10-02T09:06:42+02:00";null;26.5;null;null;null
"2019-10-02T09:06:42+02:00";null;null;25.313;null;null
"2019-10-02T09:06:42+02:00";null;null;null;null;24.625
"2019-10-02T09:06:46+02:00";null;26.5;null;null;null
"2019-10-02T09:06:46+02:00";null;null;25.313;null;null
"2019-10-02T09:06:46+02:00";null;null;null;null;24.625
"2019-10-02T09:06:46+02:00";26.063;null;null;null;null
"2019-10-02T09:06:46+02:00";null;null;null;25.625;null
"2019-10-02T09:06:51+02:00";null;null;25.313;null;null
"2019-10-02T09:06:51+02:00";null;null;null;null;24.688
"2019-10-02T09:06:51+02:00";26.125;null;null;null;null
"2019-10-02T09:06:51+02:00";null;null;null;25.688;null
"2019-10-02T09:06:51+02:00";null;26.438;null;null;null
"2019-10-02T09:06:56+02:00";null;null;25.375;null;null
"2019-10-02T09:06:56+02:00";null;null;null;null;24.625
"2019-10-02T09:06:56+02:00";26.125;null;null;null;null
"2019-10-02T09:06:56+02:00";null;null;null;25.625;null
"2019-10-02T09:06:56+02:00";null;26.5;null;null;null
"2019-10-02T09:07:01+02:00";null;null;null;25.625;null
"2019-10-02T09:07:01+02:00";26.125;null;null;null;null
"2019-10-02T09:07:01+02:00";null;null;25.313;null;null
"2019-10-02T09:07:01+02:00";null;null;null;null;24.688
"2019-10-02T09:07:01+02:00";null;26.5;null;null;null
"2019-10-02T09:07:06+02:00";null;null;null;25.688;null
"2019-10-02T09:07:06+02:00";26.063;null;null;null;null
"2019-10-02T09:07:07+02:00";null;null;25.313;null;null
"2019-10-02T09:07:07+02:00";null;null;null;null;24.688
"2019-10-02T09:07:07+02:00";null;26.438;null;null;null
"2019-10-02T09:07:11+02:00";26.125;null;null;null;null
"2019-10-02T09:07:11+02:00";null;null;null;25.688;null
"2019-10-02T09:07:11+02:00";null;26.438;null;null;null
"2019-10-02T09:07:11+02:00";null;null;25.313;null;null
"2019-10-02T09:07:11+02:00";null;null;null;null;24.688
"2019-10-02T09:07:17+02:00";26.125;null;null;null;null
"2019-10-02T09:07:17+02:00";null;null;null;25.625;null
"2019-10-02T09:07:17+02:00";null;26.5;null;null;null
"2019-10-02T09:07:17+02:00";null;null;25.313;null;null
"2019-10-02T09:07:17+02:00";null;null;null;null;24.625
"2019-10-02T09:07:21+02:00";null;null;25.313;null;null
"2019-10-02T09:07:21+02:00";null;null;null;null;24.625
"2019-10-02T09:07:21+02:00";null;26.5;null;null;null
"2019-10-02T09:07:21+02:00";26.125;null;null;null;null
"2019-10-02T09:07:21+02:00";null;null;null;25.625;null
"2019-10-02T09:07:26+02:00";null;null;null;null;24.625
"2019-10-02T09:07:26+02:00";null;26.5;null;null;null
"2019-10-02T09:07:26+02:00";26.063;null;null;null;null
"2019-10-02T09:07:26+02:00";null;null;null;25.625;null
"2019-10-02T09:07:26+02:00";null;null;25.313;null;null
"2019-10-02T09:07:31+02:00";26.125;null;null;null;null
"2019-10-02T09:07:31+02:00";null;null;null;null;24.688
"2019-10-02T09:07:31+02:00";null;null;null;25.625;null
"2019-10-02T09:07:31+02:00";null;null;25.375;null;null
"2019-10-02T09:07:31+02:00";null;26.5;null;null;null
"2019-10-02T09:07:36+02:00";26.125;null;null;null;null
"2019-10-02T09:07:36+02:00";null;null;null;null;24.688
"2019-10-02T09:07:36+02:00";null;null;null;25.625;null
"2019-10-02T09:07:36+02:00";null;null;25.375;null;null
"2019-10-02T09:07:36+02:00";null;26.5;null;null;null
"2019-10-02T09:07:41+02:00";null;26.5;null;null;null
"2019-10-02T09:07:41+02:00";26.125;null;null;null;null
