"Time";"power_1";"power_10";"power_11";"power_2";"power_3";"power_4";"power_5";"power_6";"power_7";"power_8";"power_9"
"2019-10-02T09:12:46+02:00";null;null;null;null;null;null;null;null;null;2120.5291;null
"2019-10-02T09:12:50+02:00";null;null;null;null;null;null;2166.8027;null;null;null;null
"2019-10-02T09:12:52+02:00";null;null;null;null;null;null;null;2062.6479;null;null;null
"2019-10-02T09:12:58+02:00";null;null;null;null;2072.415;null;null;null;null;null;null
"2019-10-02T09:12:59+02:00";4720.7217;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:13:07+02:00";null;null;2042.022;null;null;null;null;null;null;null;null
"2019-10-02T09:13:13+02:00";null;null;null;null;null;null;null;null;null;null;2471.1306
"2019-10-02T09:13:19+02:00";null;null;null;null;null;null;null;null;2364.1506;null;null
"2019-10-02T09:13:30+02:00";null;null;null;null;null;2495.0398;null;null;null;null;null
"2019-10-02T09:13:31+02:00";null;null;null;2500.396;null;null;null;null;null;null;null
"2019-10-02T09:13:40+02:00";null;2026.7751;null;null;null;null;null;null;null;null;null
"2019-10-02T09:13:46+02:00";null;null;null;null;null;null;null;null;null;2043.1147;null
"2019-10-02T09:13:50+02:00";null;null;null;null;null;null;2076.0452;null;null;null;null
"2019-10-02T09:13:52+02:00";null;null;null;null;null;null;null;2135.679;null;null;null
"2019-10-02T09:13:58+02:00";null;null;null;null;2078.1355;null;null;null;null;null;null
"2019-10-02T09:13:59+02:00";4777.4697;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:14:07+02:00";null;null;2102.1785;null;null;null;null;null;null;null;null
"2019-10-02T09:14:13+02:00";null;null;null;null;null;null;null;null;null;null;2683.6982
"2019-10-02T09:14:19+02:00";null;null;null;null;null;null;null;null;2597.5957;null;null
"2019-10-02T09:14:30+02:00";null;null;null;null;null;2525.1243;null;null;null;null;null
"2019-10-02T09:14:31+02:00";null;null;null;2546.4612;null;null;null;null;null;null;null
"2019-10-02T09:14:40+02:00";null;2038.5403;null;null;null;null;null;null;null;null;null
"2019-10-02T09:14:46+02:00";null;null;null;null;null;null;null;null;null;2125.9946;null
"2019-10-02T09:14:50+02:00";null;null;null;null;null;null;2196.1816;null;null;null;null
"2019-10-02T09:14:52+02:00";null;null;null;null;null;null;null;2167.1721;null;null;null
"2019-10-02T09:14:58+02:00";null;null;null;null;2101.6948;null;null;null;null;null;null
"2019-10-02T09:14:59+02:00";4742.624;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:15:07+02:00";null;null;2131.3516;null;null;null;null;null;null;null;null
"2019-10-02T09:15:13+02:00";null;null;null;null;null;null;null;null;null;null;2527.6563
"2019-10-02T09:15:19+02:00";null;null;null;null;null;null;null;null;2538.0239;null;null
"2019-10-02T09:15:30+02:00";null;null;null;null;null;2721.5437;null;null;null;null;null
"2019-10-02T09:15:31+02:00";null;null;null;2484.3301;null;null;null;null;null;null;null
"2019-10-02T09:15:40+02:00";null;2131.0059;null;null;null;null;null;null;null;null;null
"2019-10-02T09:15:46+02:00";null;null;null;null;null;null;null;null;null;2032.894;null
"2019-10-02T09:15:50+02:00";null;null;null;null;null;null;2182.9705;null;null;null;null
"2019-10-02T09:15:52+02:00";null;null;null;null;null;null;null;2245.9849;null;null;null
"2019-10-02T09:15:58+02:00";null;null;null;null;2094.1799;null;null;null;null;null;null
