t,pow,rpm
881,3.61,7.29e+03
882,3.62,7.28e+03
883,3.62,7.29e+03
884,3.62,7.29e+03
885,3.61,7.3e+03
886,3.62,7.31e+03
887,3.62,7.31e+03
888,3.62,7.31e+03
889,3.62,7.32e+03
890,3.62,7.33e+03
891,3.62,7.32e+03
892,3.62,7.32e+03
893,3.62,7.31e+03
894,3.62,7.3e+03
895,3.62,7.29e+03
896,3.62,7.28e+03
897,3.62,7.28e+03
898,3.62,7.28e+03
899,3.63,7.28e+03
900,3.62,7.28e+03
901,3.62,7.28e+03
902,3.62,7.28e+03
903,3.62,7.3e+03
904,3.62,7.31e+03
905,3.62,7.31e+03
906,3.62,7.31e+03
907,3.62,7.31e+03
908,3.62,7.31e+03
909,3.62,7.31e+03
910,3.62,7.3e+03
911,3.62,7.3e+03
912,3.61,7.3e+03
913,3.62,7.3e+03
914,3.61,7.3e+03
915,3.61,7.3e+03
916,3.62,7.29e+03
917,3.62,7.3e+03
918,3.63,7.3e+03
919,3.63,7.3e+03
920,3.63,7.29e+03
921,3.61,7.29e+03
922,3.62,7.3e+03
923,3.62,7.3e+03
924,3.62,7.3e+03
925,3.62,7.3e+03
926,3.62,7.3e+03
927,3.63,7.3e+03
928,3.62,7.29e+03
929,3.63,7.29e+03
930,3.63,7.29e+03
931,3.63,7.3e+03
932,3.63,7.31e+03
933,3.63,7.31e+03
934,3.63,7.31e+03
935,3.62,7.3e+03
936,3.63,7.3e+03
937,3.63,7.31e+03
938,3.63,7.3e+03
939,3.63,7.3e+03
940,3.63,7.31e+03
941,3.63,7.31e+03
942,3.63,7.31e+03
943,3.63,7.31e+03
944,3.63,7.31e+03
945,3.62,7.31e+03
946,3.62,7.3e+03
947,3.62,7.3e+03
948,3.62,7.3e+03
949,3.62,7.3e+03
950,3.63,7.3e+03
951,3.62,7.29e+03
952,3.63,7.28e+03
953,3.62,7.29e+03
954,3.62,7.29e+03
955,3.62,7.28e+03
956,3.62,7.29e+03
957,3.62,7.29e+03
958,3.62,7.29e+03
959,3.61,7.29e+03
960,3.62,7.29e+03
961,3.62,7.3e+03
962,3.62,7.3e+03
963,3.64,7.3e+03
964,3.62,7.31e+03
965,3.62,7.31e+03
966,3.62,7.31e+03
967,3.62,7.3e+03
968,3.62,7.3e+03
969,3.62,7.31e+03
970,3.61,7.31e+03
971,3.62,7.3e+03
972,3.62,7.3e+03
973,3.62,7.3e+03
974,3.62,7.3e+03
975,3.62,7.31e+03
976,3.62,7.32e+03
977,3.62,7.31e+03
978,3.61,7.31e+03
979,3.62,7.31e+03
980,3.62,7.31e+03
981,3.62,7.3e+03
982,3.62,7.3e+03
983,3.61,7.29e+03
984,3.62,7.28e+03
985,3.62,7.28e+03
986,3.62,7.29e+03
987,3.62,7.29e+03
988,3.61,7.28e+03
989,3.62,7.29e+03
990,3.61,7.29e+03
991,3.61,7.29e+03
992,3.61,7.29e+03
993,3.62,7.3e+03
994,3.62,7.31e+03
995,3.62,7.31e+03
996,3.62,7.31e+03
997,3.62,7.3e+03
998,3.62,7.31e+03
999,3.62,7.3e+03
1e+03,3.62,7.31e+03
1e+03,3.63,7.3e+03
1e+03,3.62,7.29e+03
1e+03,3.63,7.29e+03
1e+03,3.62,7.29e+03
1e+03,3.63,7.3e+03
1.01e+03,3.63,7.31e+03
1.01e+03,3.62,7.3e+03
1.01e+03,3.63,7.3e+03
1.01e+03,3.63,7.3e+03
1.01e+03,3.63,7.3e+03
1.01e+03,3.63,7.3e+03
1.01e+03,3.63,7.3e+03
1.01e+03,3.62,7.29e+03
1.01e+03,3.63,7.29e+03
1.02e+03,3.62,7.29e+03
1.02e+03,3.62,7.31e+03
1.02e+03,3.63,7.31e+03
1.02e+03,3.62,7.3e+03
1.02e+03,3.63,7.31e+03
1.02e+03,3.63,7.31e+03
1.02e+03,3.62,7.32e+03
1.02e+03,3.62,7.32e+03
1.02e+03,3.62,7.31e+03
1.02e+03,3.62,7.31e+03
1.02e+03,3.62,7.31e+03
1.03e+03,3.62,7.3e+03
1.03e+03,3.62,7.3e+03
1.03e+03,3.62,7.3e+03
1.03e+03,3.62,7.29e+03
1.03e+03,3.62,7.29e+03
1.03e+03,3.62,7.29e+03
1.03e+03,3.62,7.29e+03
1.03e+03,3.62,7.29e+03
1.03e+03,3.62,7.29e+03
1.04e+03,3.62,7.29e+03
1.04e+03,3.61,7.3e+03
1.04e+03,3.62,7.31e+03
1.04e+03,3.62,7.3e+03
1.04e+03,3.62,7.3e+03
1.04e+03,3.62,7.31e+03
1.04e+03,3.62,7.3e+03
1.04e+03,3.62,7.3e+03
1.04e+03,3.62,7.31e+03
1.04e+03,3.61,7.3e+03
1.04e+03,3.62,7.3e+03
1.05e+03,3.62,7.3e+03
1.05e+03,3.62,7.3e+03
1.05e+03,3.62,7.3e+03
1.05e+03,3.62,7.3e+03
1.05e+03,3.62,7.3e+03
1.05e+03,3.62,7.3e+03
1.05e+03,3.62,7.3e+03
1.05e+03,3.62,7.28e+03
