"Time";"signal_default";"signal_max_1";"signal_max_2";"signal_min"
"2019-10-01T10:18:32+02:00";48.7;90;90;10
"2019-10-01T10:19:02+02:00";49.1;90;90;10
"2019-10-01T10:19:32+02:00";49.5;90;90;10
"2019-10-01T10:20:02+02:00";47.5;90;90;10
"2019-10-01T10:20:32+02:00";46.1;90;90;10
"2019-10-01T10:21:02+02:00";47.6;90;90;10
"2019-10-01T10:21:32+02:00";46.9;90;90;10
"2019-10-01T10:22:02+02:00";47.9;90;90;10
"2019-10-01T10:22:32+02:00";47.2;90;90;10
"2019-10-01T10:23:02+02:00";46.6;90;90;10
"2019-10-01T10:23:32+02:00";46.9;90;90;10
"2019-10-01T10:24:02+02:00";49.6;90;90;10
"2019-10-01T10:24:32+02:00";46.4;90;90;10
"2019-10-01T10:25:02+02:00";47.3;90;90;10
"2019-10-01T10:25:32+02:00";47.6;90;90;10
"2019-10-01T10:26:02+02:00";47.8;90;90;10
"2019-10-01T10:26:32+02:00";47.7;90;90;10
"2019-10-01T10:27:02+02:00";46.6;90;90;10
"2019-10-01T10:27:32+02:00";47.6;90;90;10
"2019-10-01T10:28:02+02:00";46.6;90;90;10
"2019-10-01T10:28:32+02:00";49.1;90;90;10
"2019-10-01T10:29:02+02:00";48.8;90;90;10
"2019-10-01T10:29:32+02:00";48.3;90;90;10
"2019-10-01T10:30:02+02:00";48;90;90;10
"2019-10-01T10:30:32+02:00";48.4;90;90;10
"2019-10-01T10:31:02+02:00";49.4;90;90;10
"2019-10-01T10:31:32+02:00";48.2;90;90;10
"2019-10-01T10:32:02+02:00";50.4;90;90;10
"2019-10-01T10:32:32+02:00";49.7;90;90;10
"2019-10-01T10:33:02+02:00";49.6;90;90;10
"2019-10-01T10:33:32+02:00";49.8;90;90;10
"2019-10-01T10:34:02+02:00";51.9;90;90;10
"2019-10-01T10:34:32+02:00";50.7;90;90;10
"2019-10-01T10:35:02+02:00";50.8;90;90;10
"2019-10-01T10:35:32+02:00";50.5;90;90;10
"2019-10-01T10:36:02+02:00";50.1;90;90;10
"2019-10-01T10:36:32+02:00";49.7;90;90;10
"2019-10-01T10:37:02+02:00";51.1;90;90;10
"2019-10-01T10:37:32+02:00";52.2;90;90;10
"2019-10-01T10:38:02+02:00";51;90;90;10
"2019-10-01T10:38:32+02:00";50.6;90;90;10
